movieId,title,genres,image
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
3,Grumpier Old Men (1995),Comedy|Romance,/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg
5,Father of the Bride Part II (1995),Comedy,/lf9RTErt8BSLQy98aSFblElvsCQ.jpg
6,Heat (1995),Action|Crime|Thriller,/rrBuGu0Pjq7Y2BWSI6teGfZzviY.jpg
7,Sabrina (1995),Comedy|Romance,/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg
8,Tom and Huck (1995),Adventure|Children,/lOnbEStMnDGKWJGvPEsMoZDML1b.jpg
9,Sudden Death (1995),Action,/4Snihptli0we9I4W5QfufOdHSeV.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,/bFzjdy6ucvNlXmJwoSoYfufV6lP.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
13,Balto (1995),Adventure|Animation|Children,/tpoaKJMRjOZl9cbZRR2aiKikyRC.jpg
14,Nixon (1995),Drama,/yzMSdrThWAyDehVGjiAkKS2IGSa.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg
16,Casino (1995),Crime|Drama,/4TS5O1IP42bY2BvgMxL156EENy.jpg
17,Sense and Sensibility (1995),Drama|Romance,/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
18,Four Rooms (1995),Comedy,/uZSmxBLIuZ8gpadjAWNdA5aQDAc.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
